날짜,사번,이름,전화번호,핸드폰 기종,모델넘버,스테이터스,앱 접근 기록,ground_truth
2025-03-19 14:37:39,M40062,황미영,061-215-9593,LG Velvet,LM-G910N,차단됨,마이크 사용,0
2025-02-20 21:27:29,M42426,안은서,018-669-4859,Galaxy Note20,A2633,차단됨,정상,1
2025-06-13 00:26:39,M47247,김정남,062-838-9170,Galaxy Note20,SM-G991N,차단됨,카메라 접근,0
2025-06-15 18:02:44,M68085,이은주,011-480-8500,Galaxy S21,A2633,정상,위치 정보 요청,0
2025-05-05 20:57:03,M92114,이하은,016-749-2840,iPhone 13,A2633,차단됨,위치 정보 요청,0
2025-05-21 05:22:07,M26569,김정남,010-3503-5329,Galaxy Note20,A2633,정상,정상,0
2025-06-08 15:45:00,M27206,오민지,051-363-2041,iPhone 13,A2633,위험 감지,마이크 사용,0
2025-01-13 18:01:38,M79041,장정웅,061-979-5522,Galaxy Note20,SM-G991N,위험 감지,정상,0
2025-02-14 09:02:36,M32361,이병철,010-5572-4545,LG Velvet,SM-N986N,정상,정상,0
2025-05-25 10:48:30,M13744,남준혁,053-981-2188,Galaxy Note20,SM-N986N,차단됨,마이크 사용,0
2025-06-20 14:00:43,M14607,김동현,032-528-2673,Galaxy Note20,SM-G991N,정상,위치 정보 요청,0
2025-07-01 12:06:41,M96972,김상현,053-440-3253,Galaxy S21,SM-G991N,차단됨,위치 정보 요청,1
2025-05-17 16:36:24,M56771,김영수,019-916-7889,LG Velvet,A2633,위험 감지,카메라 접근,0
2025-03-01 17:46:18,M52624,배은서,064-798-4467,LG Velvet,SM-G991N,정상,마이크 사용,0
2025-01-15 04:18:57,M72410,조승현,064-743-7951,Galaxy S21,SM-N986N,차단됨,카메라 접근,0
2025-01-20 11:46:52,M71235,김준혁,052-883-3473,iPhone 13,LM-G910N,위험 감지,정상,0
2025-02-11 04:02:39,M80855,김지훈,010-7738-8738,LG Velvet,LM-G910N,정상,위치 정보 요청,0
2025-04-10 10:55:15,M45705,장서현,041-048-7850,LG Velvet,LM-G910N,정상,정상,0
2025-06-25 01:52:35,M81898,김예은,042-441-7676,Galaxy S21,A2633,위험 감지,정상,0
2025-04-08 03:52:02,M68306,김준혁,010-3989-3739,iPhone 13,SM-N986N,차단됨,위치 정보 요청,0
2025-02-13 00:02:21,M27709,김옥자,019-974-8715,LG Velvet,LM-G910N,위험 감지,위치 정보 요청,0
2025-07-12 19:03:32,M80685,류영순,070-0029-8365,Galaxy S21,A2633,정상,마이크 사용,0
2025-06-22 18:42:14,M33204,윤서영,031-221-9718,LG Velvet,LM-G910N,차단됨,위치 정보 요청,0
2025-03-15 12:39:36,M87441,홍유진,032-244-4610,Galaxy Note20,SM-G991N,정상,카메라 접근,0
2025-02-23 16:08:57,M88326,이민수,010-6184-1698,iPhone 13,SM-G991N,정상,위치 정보 요청,0
2025-01-01 03:22:41,M69840,최성진,041-992-1458,Galaxy Note20,A2633,위험 감지,정상,0
2025-04-30 16:39:43,M92712,김명숙,018-052-7846,iPhone 13,A2633,위험 감지,정상,0
2025-06-24 15:06:03,M93342,김영식,02-4238-5385,Galaxy S21,A2633,위험 감지,마이크 사용,0
2025-01-01 08:05:36,M83922,우지원,044-808-6032,LG Velvet,A2633,위험 감지,정상,0
2025-01-08 11:49:56,M67013,이건우,032-903-0294,LG Velvet,LM-G910N,위험 감지,카메라 접근,0
2025-04-26 13:51:40,M78610,김진우,016-978-8987,Galaxy S21,A2633,위험 감지,마이크 사용,0
2025-03-02 07:38:48,M93858,고미숙,052-128-2250,LG Velvet,A2633,정상,위치 정보 요청,0
2025-02-24 20:20:52,M93824,조서현,064-749-8313,Galaxy Note20,A2633,정상,위치 정보 요청,0
2025-06-04 10:12:49,M79964,최승민,052-458-6762,Galaxy S21,SM-G991N,정상,위치 정보 요청,0
2025-03-11 20:45:41,M50587,김현숙,031-707-5075,Galaxy Note20,SM-N986N,차단됨,정상,1
2025-03-14 03:56:44,M55504,김수진,031-299-6790,iPhone 13,SM-G991N,위험 감지,정상,0
2025-03-30 14:35:25,M73131,백지은,019-997-2202,LG Velvet,SM-G991N,정상,카메라 접근,0
2025-06-10 20:48:09,M80735,김선영,02-4267-2967,Galaxy Note20,SM-G991N,위험 감지,위치 정보 요청,0
2025-02-13 10:27:03,M39770,최준혁,044-951-0191,LG Velvet,SM-N986N,위험 감지,카메라 접근,0
2025-07-14 09:38:32,M21738,정유진,070-2512-6015,iPhone 13,SM-N986N,정상,위치 정보 요청,0
2025-01-01 17:53:24,M67915,김현우,011-898-1308,LG Velvet,SM-G991N,정상,마이크 사용,0
2025-05-21 19:27:09,M50352,김미숙,062-589-5882,iPhone 13,A2633,차단됨,카메라 접근,0
2025-07-14 12:58:17,M57943,박정웅,052-399-3813,Galaxy S21,SM-G991N,위험 감지,카메라 접근,0
2025-04-02 18:46:28,M64028,윤하윤,061-435-1841,LG Velvet,SM-G991N,정상,정상,0
2025-07-04 01:35:30,M44053,박수진,042-916-7306,Galaxy S21,SM-G991N,정상,정상,0
2025-07-02 20:52:23,M30410,강광수,044-989-6372,iPhone 13,SM-N986N,차단됨,카메라 접근,0
2025-04-01 23:18:19,M49789,김영미,031-877-7210,Galaxy S21,SM-G991N,위험 감지,마이크 사용,0
2025-01-09 12:30:33,M11383,박옥순,016-083-7506,Galaxy Note20,LM-G910N,정상,정상,0
2025-03-02 12:33:47,M10012,김민지,053-896-8365,Galaxy S21,SM-G991N,정상,위치 정보 요청,0
2025-07-02 13:03:47,M78592,배동현,062-798-6413,Galaxy Note20,SM-G991N,위험 감지,카메라 접근,0
2025-05-28 14:40:27,M27865,최지혜,070-2644-9372,iPhone 13,LM-G910N,위험 감지,정상,1
